datetime,inlet,outlet,outfall
2026-03-18 22:00,31.0069,37.3464,37.9965
2026-03-18 23:00,30.9361,37.2683,37.9188
2026-03-19 00:00,30.8937,37.1422,37.84
2026-03-19 01:00,30.875,37.1219,37.779
2026-03-19 02:00,30.89,37.1281,37.736
2026-03-19 03:00,30.8944,37.115,37.695
2026-03-19 04:00,30.9,37.1162,37.6815
2026-03-19 05:00,30.8815,37.1146,37.608
2026-03-19 06:00,30.8187,37.0866,37.638
2026-03-19 07:00,30.7977,37.0809,37.7186
2026-03-19 08:00,30.806,37.0804,37.729
2026-03-19 09:00,30.8489,37.113,37.7496
2026-03-19 10:00,30.8636,37.116,37.7025
2026-03-19 11:00,30.8824,37.1285,37.8
2026-03-19 12:00,30.95,37.2117,37.875
2026-03-19 13:00,31.0717,37.3083,37.836
2026-03-19 14:00,31.135,37.3608,37.8165
2026-03-19 15:00,31.1776,37.4041,37.8223
2026-03-19 16:00,31.27,37.4886,37.9065
2026-03-19 17:00,31.317,37.5488,37.9524
2026-03-19 18:00,31.2605,37.517,37.944
2026-03-19 19:00,31.2276,37.5111,37.955
2026-03-19 20:00,31.2107,37.4854,38.0355
2026-03-19 21:00,31.1333,37.4491,37.9776
2026-03-19 22:00,31.025,37.3455,37.944
2026-03-19 23:00,30.985,37.2937,37.908
2026-03-20 00:00,30.9594,37.2292,37.8249
2026-03-20 01:00,30.9375,37.1979,37.7914
2026-03-20 02:00,30.9071,37.1228,37.7322
2026-03-20 03:00,30.8982,37.0925,37.698
2026-03-20 04:00,30.9036,37.0924,37.69
2026-03-20 05:00,30.9,37.108,37.709
2026-03-20 06:00,30.8562,37.0677,37.6776
2026-03-20 07:00,30.8594,37.0698,37.704
2026-03-20 08:00,30.7958,37.0462,37.686
2026-03-20 09:00,30.7417,36.9909,37.645
2026-03-20 10:00,30.7868,37.0557,37.671
2026-03-20 11:00,30.8708,37.1006,37.7268
2026-03-20 12:00,30.9077,37.1364,37.7777
2026-03-20 13:00,30.9781,37.2391,37.866
2026-03-20 14:00,31.1229,37.3626,37.9436
2026-03-20 15:00,31.2298,37.4426,38.0487
